iter	Passed	Remaining
1229	247299	54285
1230	247571	54099
1231	247784	53901
1232	247959	53694
1233	248158	53492
1234	248362	53292
1235	248566	53091
1236	248762	52889
1237	248938	52683
1238	249134	52481
1239	249312	52275
1240	249513	52074
1241	249763	51883
1242	250004	51690
1243	250209	51489
1244	250399	51286
1245	250600	51085
1246	250803	50884
1247	251001	50682
1248	251191	50479
1249	251372	50274
1250	251560	50070
1251	251735	49864
1252	251980	49672
1253	252198	49474
1254	252388	49270
1255	252578	49067
1256	252769	48864
1257	252958	48661
1258	253150	48458
1259	253326	48252
1260	253507	48047
1261	253688	47843
1262	253865	47637
1263	254056	47434
1264	254234	47229
1265	254405	47022
1266	254581	46817
1267	254762	46612
1268	254944	46408
1269	255136	46205
1270	255347	46006
1271	255533	45803
1272	255713	45598
1273	255905	45396
1274	256267	45223
1275	256454	45020
1276	256650	44818
1277	256852	44617
1278	257047	44415
1279	257231	44211
1280	257413	44007
1281	257605	43804
1282	257789	43601
1283	257986	43399
1284	258186	43198
1285	258372	42995
1286	258561	42792
1287	258745	42588
1288	258947	42387
1289	259140	42185
1290	259330	41983
1291	259557	41786
1292	259766	41586
1293	259956	41384
1294	260161	41183
1295	260358	40982
1296	260553	40780
1297	260751	40579
1298	260940	40376
1299	261195	40183
1300	261427	39987
1301	261634	39787
1302	261862	39590
1303	262060	39389
1304	262318	39196
1305	262512	38995
1306	262696	38791
1307	262905	38591
1308	263091	38388
1309	263285	38186
1310	263471	37983
1311	263674	37782
1312	263874	37581
1313	264066	37379
1314	264260	37177
1315	264447	36974
1316	264627	36770
1317	264811	36567
1318	264991	36363
1319	265199	36163
1320	265389	35961
1321	265575	35758
1322	265781	35558
1323	266025	35362
1324	266262	35166
1325	266448	34963
1326	266628	34760
1327	266813	34557
1328	267003	34354
1329	267192	34152
1330	267397	33952
1331	267587	33749
1332	267794	33549
1333	267975	33346
1334	268181	33146
1335	268379	32944
1336	268575	32743
1337	268764	32540
1338	268960	32339
1339	269162	32138
1340	269348	31936
1341	269537	31733
1342	269719	31530
1343	269912	31329
1344	270099	31126
1345	270285	30924
1346	270485	30723
1347	270668	30520
1348	270852	30317
1349	271044	30116
1350	271236	29914
1351	271423	29712
1352	271617	29510
1353	271797	29307
1354	271986	29105
1355	272176	28903
1356	272364	28701
1357	272564	28500
1358	272749	28298
1359	272941	28096
1360	273142	27896
1361	273335	27694
1362	273564	27496
1363	273768	27296
1364	273963	27095
1365	274155	26893
1366	274351	26692
1367	274552	26491
1368	274760	26291
1369	274962	26091
1370	275160	25890
1371	275343	25688
1372	275534	25486
1373	275718	25284
1374	275989	25089
1375	276458	24913
1376	276663	24712
1377	276856	24511
1378	277043	24309
1379	277248	24108
1380	277439	23906
1381	277622	23704
1382	277803	23501
1383	277995	23300
1384	278194	23099
1385	278423	22900
1386	278630	22700
1387	278808	22497
1388	279008	22296
1389	279223	22096
1390	279435	21896
1391	279626	21695
1392	279827	21494
1393	280019	21292
1394	280215	21091
1395	280413	20890
1396	280827	20705
1397	281101	20509
1398	281335	20310
1399	281540	20110
1400	281764	19910
1401	282007	19712
1402	282268	19515
1403	282483	19315
1404	282708	19115
1405	282895	18913
1406	283077	18710
1407	283252	18507
1408	283440	18305
1409	283620	18103
1410	283806	17901
1411	284000	17699
1412	284201	17498
1413	284381	17296
1414	284563	17093
1415	284746	16891
